name,data_id,task_type
bates_classif_20,45654,classif
bates_regr_20,45655,regr
colon,45665,classif
friedman1,45666,regr
bates_regr_100,45667,regr
bates_classif_100,45668,classif
breast,45669,classif
chen_10_null,45670,regr
chen_10,45671,regr
prostate,45672,classif
simulated_adult,45656,classif
simulated_bank_marketing,45657,classif
simulated_covertype,45658,classif
simulated_diamonds,45659,regr
simulated_electricity,45660,classif
simulated_physiochemical_protein,45661,regr
simulated_sgemm_gpu_kernel_performance,45662,regr
simulated_video_transcoding,45663,regr
subset_higgs,45664,classif
